Component Count:,34,,
Ref,Value,Footprint,Datasheet
C1,10p,ATC_B:ATC_500_HandSoldering,
C2,10n,Capacitors_SMD:C_0805_HandSoldering,
C3,10n,Capacitors_SMD:C_0805_HandSoldering,
C4,10n,Capacitors_SMD:C_0805_HandSoldering,
C5,10n,Capacitors_SMD:C_0805_HandSoldering,
C6,10n,Capacitors_SMD:C_0805_HandSoldering,
D1,D,Diodes_SMD:D_1206,
D2,D,Diodes_SMD:D_1206,
D3,D,Diodes_SMD:D_1206,
D4,D,Diodes_SMD:D_1206,
J2,SMA,SMA_PINS:SMA_PINS,
J4,SMA,SMA_PINS:SMA_PINS,
J5,Conn_01x05,Connectors_Molex:Molex_KK-6410-05_05x2.54mm_Straight,
J7,SMA,SMA_PINS:SMA_PINS,
J9,SMA,SMA_PINS:SMA_PINS,
J15,SMA,SMA_PINS:SMA_PINS,
J16,SMA,SMA_PINS:SMA_PINS,
L1,L_Small,Inductors_SMD:L_0805_HandSoldering,
R1,53E,Resistors_SMD:R_0805_HandSoldering,
R2,806E,Resistors_SMD:R_0805_HandSoldering,
R3,53E,Resistors_SMD:R_0805_HandSoldering,
R4,1k,Resistors_SMD:R_0805_HandSoldering,
R5,1K8,Resistors_SMD:R_0805_HandSoldering,
R6,220E,Resistors_SMD:R_0805_HandSoldering,
R7,100k,Resistors_SMD:R_0805_HandSoldering,
R8,100k,Resistors_SMD:R_0805_HandSoldering,
R9,100E,Resistors_SMD:R_0805_HandSoldering,
R10,100E,Resistors_SMD:R_0805_HandSoldering,
R11,220E,Resistors_SMD:R_0805_HandSoldering,
R12,1K8,Resistors_SMD:R_0805_HandSoldering,
R13,1k,Resistors_SMD:R_0805_HandSoldering,
RL1,EC2-12NU,2_Form_C_Relay:Relay_DPDT_NEC_EC2,
T1,Tr 1/33,T50:TR_T50_V_smd,Laird
T2,Tr 33/1,T50:TR_T50_H_SMD,Laird
U1,LMC6482,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
